,Date,Reviews,Ratings
0,"May 13, 2019",I spoke with a Harvey Payne who was very patient and nice to me. He gave me a lot of Information even though I didn't fill out any papers. I told him why I didn't want to and he understood and didn't pressure me like other people tend to do.,4.8
1,"January 22, 2019",This dealership is a one stop show here. They have great customer service from salesmen to the service department. Great location and finance team. Thanks,5.0
