,Date,Reviews,Ratings
0,"August 27, 2015","Fantastic dealership/Gainesville
Suzie Klement was especially nice, helpful and no pressure.  Extremely patient with us with all our questions 
about the Buick Verano we purchased. All other staff were exceedingly fantsstic
Thank You",5.0
1,"August 24, 2015",I absolutely love my 2015 Camaro I got from Cole-McNatt. Gary Woods is an awesome salesman. Take my advice go see him. They are all great people.,5.0
2,"May 07, 2015","Ben Bindel is the BEST sales rep I have ever dealt with. the over all experience was Great. Very helpful and did not waste my time. I would recommend everyone to visit Cole McNatt in Gainesville,Texas.",5.0
