,Date,Reviews,Ratings
0,"December 05, 2019",Chris Cunningham and team did a great job of taking care of my mom's new lease and the purchase of my son a new truck.,5.0
1,"August 26, 2019","Although 45 minutes from home,, I went to FK because they had the unit I wanted. I had forgotten how much more congenial a smaller town dealer can be, and I had also forgotten what it is like to actually negotiate a mutually satisfactory deal with a real live decision-maker. Good experience!",5.0
2,"March 14, 2018","The service department needs to learn how to answer phone calls
Called three times with no answer
Bring back Allen samuels
I would not recommend this place to my enemys",1.0
