,Date,Reviews,Ratings
0,"March 19, 2020",Very good customer service and thanks to our salesman Steve Porter for helping us all the time. Lawrence Hall Cadillac is the best in Abilene  ,5.0
1,"December 05, 2018","Friendly employees, quick service,  glad they have Saturday appointments. The dealer I bought my car from does not. I will consider dealerships in the future and see who has the best deal for me",5.0
2,"July 13, 2018",I needed a part for my car. It was a hard part to locate. There were three parts people on three different computers looking for my part and the stuck with it till they located it. They were very friendly and I walked away impressed by the service.,5.0
