,Date,Reviews,Ratings
0,"August 17, 2014",Came in and they had me approved within less than an hour Vic and Mike were so nice to me and even brought me out of the mood i was in when i arrived the entire process was smooth and i left with the car of my dreams and most of all AC!!!!,5.0
1,"April 26, 2013",Don Mason was my salesman he got me a great deal on a great car. I couldn't be happier. He even went the extra mile and got my cars windows tinted for me. I will recommend him and Manuels to all my friends and family. Thanks it was a pleasure I am a very happy customer,5.0
