,Date,Reviews,Ratings
0,"June 12, 2007","Thanks guys I was riding through town and had some mechanical issues, Cooper got me back on the road. Thanks",5.0
1,"March 29, 2007",These guys were great I traveled a long way but I saved so much cash it was worth it. I have a Yamaha dealer a block from my house but I traveled from Houston to Brenham. Well worth the trip. Save big at this Yamaha Dealer,5.0
