,Date,Reviews,Ratings
0,"May 22, 2019","My truck broke down on my way into Houston they got it in and major repairs done in superb fashion!!
I would strongly say anyone needing any service or warranty repair to go visit them!!!!",5.0
1,"May 01, 2019","From service to sales to employees ,excellent service, friendly, will help stranded out of town people,  no questions asked at closing time or any time! Great prices on all used and new cars and trucks!  One of a kind dealership!  ",5.0
2,"April 12, 2019",Mike was very helpful and made sure that we got everything we wanted at our price that we wanted to pay.  He has checked back to make sure we were happy.  We will be back.,5.0
