,Date,Reviews,Ratings
0,"July 21, 2017",Lee Hoffpauir Chevrolet in Goldthwaite is the BEST place to get service or to buy a new vehicle hands down! Don't miss a chance to visit them and be blown away by their customer service!,5.0
1,"April 30, 2017","Everyone at Lee Hoffpauir was great, Ralph found me my dream car and Mark (finance manager) was very helpful and educational on my first car purchase on my own. I will definitely be back!",5.0
2,"November 11, 2016",The easiest car purchase I have ever had! I would highly recommend these great professionals. Sales and Service go out of their way to take great care of me and my car! Thank you Lee Hoffpauir Chevrolet Buick.,5.0
