Sn,0
67670,0
41344,0
52093,0
6950,0
35912,0
51574,0
10955,0
31647,0
57783,0
15950,0
51366,0
57410,1
52957,0
47123,0
33285,0
24672,0
16953,0
41577,0
27552,0
61502,0
52550,0
46358,0
7358,1
14823,0
55378,0
10285,1
33311,0
54921,0
6956,0
32619,1
1846,0
18340,0
18795,1
1851,1
7984,1
15148,0
51938,1
9984,0
40993,0
59327,0
32718,0
31705,0
9968,0
32249,0
35912,0
14539,1
33655,0
17599,0
50989,0
42147,1
5533,0
24620,0
18941,1
35919,0
14513,0
25647,0
27561,1
41123,0
62192,1
18943,1
52542,0
5078,0
5492,0
13381,0
20278,0
16168,1
13324,0
11761,0
18967,0
27097,0
10779,0
16158,0
20820,0
12180,0
6675,0
47114,0
23569,0
27881,1
62994,0
46428,0
60387,0
7416,1
52538,0
66555,0
40099,0
19708,0
63912,0
20782,1
24595,0
65236,0
40992,0
60060,0
36551,0
10254,0
2370,0
56516,0
41203,0
12335,0
41216,0
15754,1
3732,0
43235,0
27552,0
60260,0
7759,0
9347,0
12666,1
29833,1
46826,0
31919,0
50816,0
50959,0
10946,0
26104,0
7981,0
42561,1
41998,0
51414,0
44616,0
65669,0
18783,1
12638,0
3669,0
68368,1
68369,1
68370,1
68371,1
68372,1
68373,1
68374,1
68375,1
68376,1
68378,1
68379,1
68380,1
68381,1
68382,1
68383,1
68384,1
